publish_date,title,media_name
2011-04-27,New opera tells Winnie Madikizela-Mandela's story,kansascity.com
2011-04-27,New opera tells Winnie Madikizela-Mandela's story,sacbee.com
2011-05-04,City officials in South Africa’s economic hub save Nelson Mandela’s historic law offices,washingtonpost.com
2011-05-04,Like and Unlike Mandela,nationalreview.com
2011-05-04,Johannesburg saves Mandela's old law offices,miamiherald.com
2011-05-04,Johannesburg saves Mandela's old law offices,kansascity.com
2011-05-04,Johannesburg saves Mandela's old law offices,sacbee.com
2011-05-16,South Africa's Mandela votes early in local polls,foxnews.com
2011-05-16,"Mandela votes early; election official says former leader is 'healthy, handsome'",startribune.com
2011-04-26,Recovering Nelson Mandela votes in South Africa election,reuters.com
2011-05-16,South Africa's Mandela votes early in local polls,miamiherald.com
2011-05-16,South Africa's Mandela votes early in local polls,ajc.com
2011-05-16,"South Africa’s Mandela votes early; election official says former pres ‘healthy, handsome’",washingtonpost.com
2011-05-16,South Africa's Mandela votes early in local polls,sacbee.com
2011-05-16,"Mandela votes early; election official says former leader is ‘healthy, handsome’",washingtonpost.com
2011-05-23,Mandela resting in his South African home village on first trip since his hospitalization,washingtonpost.com
2011-05-23,Mandela asks to go home to Qunu,upi.com
2011-05-23,Mandela resting in his South African home village,miamiherald.com
2011-05-23,Mandela resting in his South African home village on first trip since his hospitalization,washingtonpost.com
2011-05-23,Mandela resting in his South African home village,kansascity.com
2011-05-25,"Arthur Goldreich, who helped shelter Mandela in S. Africa, dies",washingtonpost.com
2011-06-02,"Anti-apartheid veteran Albertina Sisulu, widow of Mandela’s mentor, dies at 92",washingtonpost.com
2011-06-15,"In Africa, Michelle Obama to honor Nelson Mandela",sacbee.com
2011-06-15,South Africa: Mandela charity’s ex-chief innocent in diamond case linked to Charles Taylor,washingtonpost.com
2011-06-15,South Africa: Mandela charity’s ex-chief innocent in diamond case linked to Charles Taylor,washingtonpost.com
2011-06-15,South Africa: Mandela charity’s ex-chief innocent in diamond case linked to Charles Taylor,washingtonpost.com
2011-06-15,"In Africa, Michelle Obama to honor Nelson Mandela",ajc.com
2011-06-15,South Africa: Mandela charity’s ex-chief innocent in diamond case linked to Charles Taylor,washingtonpost.com
2011-06-15,"In Africa, Michelle Obama to honor Nelson Mandela",kansascity.com
2011-06-15,South Africa: Mandela charity’s ex-chief innocent in diamond case linked to Charles Taylor,washingtonpost.com
2011-06-15,South Africa: Mandela charity’s ex-chief innocent in diamond case linked to Charles Taylor,washingtonpost.com
2011-06-15,"In Africa, Michelle Obama to honor Nelson Mandela",miamiherald.com
2011-06-15,Mandela Charity Ex-Chief Innocent in Diamond Case,nytimes.com
2011-06-21,Michelle Obama meets Nelson Mandela in South Africa,suntimes.com
2011-06-21,"Michelle Obama begins six-day tour of South Africa, meets with Nelson Mandela",nydailynews.com
2011-06-21,Michelle Obama meets with Nelson Mandela as she begins Africa tour [Updated],latimes.com
2011-06-21,"Michelle Obama, family, meets with Nelson Mandela",denverpost.com
2011-06-21,"Michelle Obama, family, meets with Nelson Mandela",miamiherald.com
2011-06-21,Michelle Obama meets Nelson Mandela,upi.com
2011-06-21,Michelle Obama meets with Nelson Mandela as she begins Africa tour [Updated],latimes.com
2011-06-21,Michelle Obama meets with Nelson Mandela in stop at his foundation to view his papers,startribune.com
2011-06-21,Michelle Obama meets with Nelson Mandela as she begins Africa tour [Updated],latimes.com
2011-06-21,Michelle Obama meets with Nelson Mandela as she begins Africa tour [Updated],latimes.com
2011-06-21,"Michelle Obama, family, meets with Nelson Mandela",kansascity.com
2011-06-21,Michelle Obama Meets Nelson Mandela,wsj.com
2011-06-21,Michelle Obama meets with Nelson Mandela as she begins Africa tour,chicagotribune.com
2011-06-21,"Michelle Obama, family, meets with Nelson Mandela",denverpost.com
2011-06-21,Michelle Obama meets with Nelson Mandela in stop at his foundation to view his papers,washingtonpost.com
2011-06-17,Michelle Obama meets Nelson Mandela in South Africa,reuters.com
2011-06-21,"Michelle Obama, family, meets with Nelson Mandela",sacbee.com
2011-06-22,"Michelle Obama calls meeting with Mandela ‘very surreal,’ says she’s trying to process it",washingtonpost.com
